4-HYDROXYPHENYLPYRUVATE_BIOSYNTHESIS	4-hydroxyphenylpyruvate biosynthesis	AT5G51690,AT5G53970,AT1G62960
CHLOROPHYLLIDE_A_BIOSYNTHESIS_I	chlorophyllide a biosynthesis I	AT4G03205,AT5G54190,AT1G08520,AT2G40490,AT5G14220,AT5G13630,AT4G18480,AT4G27440,AT1G03475,AT5G45930,AT3G56940,AT1G03630,AT4G25080,AT4G01690,AT3G14930,AT5G18660
HEME_BIOSYNTHESIS_FROM_UROPORPHYRINOGEN-III_I	heme biosynthesis from uroporphyrinogen-III I	AT4G03205,AT2G30390,AT2G40490,AT5G14220,AT5G26030,AT1G03475,AT4G01690,AT3G14930
VITAMIN_E_BIOSYNTHESIS	vitamin E biosynthesis	AT2G18950,AT1G64970,AT4G32770,AT1G06570,AT3G63410
14-DIHYDROXY-2-NAPHTHOATE_BIOSYNTHESIS_II_	1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	AT1G18870,AT1G74710,AT1G60550,AT1G30520,AT1G68890
PHYLLOQUINONE_BIOSYNTHESIS	phylloquinone biosynthesis	AT1G23360,AT1G60600
PLASTOQUINONE-9_BIOSYNTHESIS	plastoquinone-9 biosynthesis	AT1G06570,AT3G11945,AT3G63410
UBIQUINONE-9_BIOSYNTHESIS_	ubiquinone-9 biosynthesis (eukaryotic)	AT2G30920,AT4G23660
GLUTATHIONE_REDOX_REACTIONS_II	glutathione redox reactions II	AT3G24170,AT3G54660
GLUTATHIONE_BIOSYNTHESIS	glutathione biosynthesis	AT4G23100,AT5G27380
GLUTATHIONE_REDOX_REACTIONS_I	glutathione redox reactions I	AT2G30860,AT2G25080,AT2G31570,AT4G11600,AT5G17220,AT3G24170,AT4G31870,AT3G54660,AT3G03190,AT2G30870,AT2G43350
THIOREDOXIN_PATHWAY	thioredoxin pathway	AT4G35460,AT2G41680,AT1G60420,AT2G17420
GAMMA;-GLUTAMYL_CYCLE_	gamma;-glutamyl cycle (plant pathway)	AT4G23100,AT5G27380,AT5G37830
TETRAPYRROLE_BIOSYNTHESIS_I	tetrapyrrole biosynthesis I	AT1G09940,AT5G63570,AT2G31250,AT1G69740,AT5G64050,AT3G48730,AT1G58290,AT2G26540,AT5G26710,AT5G08280
PANTOTHENATE_BIOSYNTHESIS	pantothenate biosynthesis	AT2G46110,AT5G48840,AT1G10070,AT5G34780,AT3G61530,AT3G49680,AT1G10060,AT1G50090,AT5G65780
ASCORBATE_BIOSYNTHESIS_I_	ascorbate biosynthesis I (L-galactose pathway)	AT5G17530,AT5G28840,AT3G55590,AT4G39120,AT3G02870,AT2G39770,AT4G26850,AT2G45790,AT4G33670,AT3G47930,AT1G67070,AT5G55120,AT3G02570,AT1G70820,AT4G30570
ASCORBATE_BIOSYNTHESIS_II_	ascorbate biosynthesis II (L-gulose pathway)	AT5G28840,AT2G25870,AT3G47930
ASCORBATE_BIOSYNTHESIS_III_	ascorbate biosynthesis III (VTC2 cycle)	AT5G28840,AT4G26850
ASCORBATE_BIOSYNTHESIS_IV_	ascorbate biosynthesis IV (extended VTC2 cycle)	AT5G28840,AT4G26850
BIOTIN_BIOSYNTHESIS_II	biotin biosynthesis II	AT4G05450,POP3,AT5G65720,AT2G43360,AT5G57590,AT4G32360,AT4G21090,AT5G04620
FLAVIN_BIOSYNTHESIS_I_	flavin biosynthesis I (bacteria and plants)	AT2G38740,AT2G44050,AT5G57440,AT3G47390,AT4G20960,AT4G39970,AT3G48420,AT1G56500,AT5G59750,AT4G11570,AT4G21470,AT2G20690,AT2G22450,AT5G64300,AT4G25840
FOLATE_POLYGLUTAMYLATION_I	folate polyglutamylation I	AT5G05980,AT1G22020,AT4G37930,AT3G55630,AT4G13890,AT4G32520,AT3G10160,AT4G13930,AT3G12290,AT4G00620,AT5G26780,AT1G50480,AT2G38660,AT4G00600,AT1G36370
